iter	Passed	Remaining
856	1322	220
857	1323	219
858	1325	217
859	1326	215
860	1327	214
861	1328	212
862	1330	211
863	1331	209
864	1332	207
865	1333	206
866	1335	204
867	1336	203
868	1337	201
869	1338	200
870	1340	198
871	1341	196
872	1343	195
873	1344	193
874	1346	192
875	1347	190
876	1348	189
877	1349	187
878	1350	185
879	1352	184
880	1353	182
881	1354	181
882	1355	179
883	1356	178
884	1358	176
885	1359	174
886	1360	173
887	1361	171
888	1363	170
889	1364	168
890	1365	167
891	1366	165
892	1367	163
893	1369	162
894	1370	160
895	1371	159
896	1372	157
897	1373	156
898	1374	154
899	1376	152
900	1377	151
901	1378	149
902	1379	148
903	1381	146
904	1382	145
905	1383	143
906	1384	141
907	1385	140
908	1387	138
909	1388	137
910	1389	135
911	1390	134
912	1391	132
913	1393	131
914	1394	129
915	1395	127
916	1396	126
917	1397	124
918	1399	123
919	1400	121
920	1401	120
921	1402	118
922	1403	117
923	1405	115
924	1406	114
925	1407	112
926	1408	110
927	1409	109
928	1411	107
929	1412	106
930	1413	104
931	1414	103
932	1415	101
933	1417	100
934	1418	98
935	1419	97
936	1420	95
937	1421	93
938	1422	92
939	1424	90
940	1425	89
941	1426	87
942	1427	86
943	1428	84
944	1430	83
945	1431	81
946	1432	80
947	1433	78
948	1434	77
949	1435	75
950	1436	74
951	1438	72
952	1439	70
953	1440	69
954	1441	67
955	1442	66
956	1443	64
957	1444	63
958	1445	61
959	1446	60
960	1448	58
961	1449	57
962	1450	55
963	1452	54
964	1453	52
965	1455	51
966	1456	49
967	1457	48
968	1458	46
969	1459	45
970	1460	43
971	1462	42
972	1463	40
973	1464	39
974	1466	37
975	1467	36
976	1468	34
977	1470	33
978	1471	31
979	1472	30
980	1473	28
981	1475	27
982	1476	25
983	1477	24
984	1478	22
985	1480	21
986	1481	19
987	1482	18
988	1483	16
989	1485	15
990	1486	13
991	1487	11
992	1488	10
993	1490	8
994	1491	7
995	1492	5
996	1493	4
997	1495	2
998	1496	1
999	1497	0
